Email Tag,What It Applies To,Automations/Actions Triggered,How is tag removed,How it'll help,Note
CS,Customer Service related matters. ,Refer to B Label Page for Sub Labels,When picked up by COMMS-CS or if marked as read (COMMS CS is for new unrouted or addressed concerns while this is just to segment),"Seperates CS from other items, automates responses when a new thread and gets people the help required faster.",I would like to have something that auto marks it as read if it comes into the inbox but its already an ongoing discussion that doesn't require me. 
Unsure,Things that are not clear cut for any of theset statuses. ,none,"Once email is replied to, any emails that are marked with the tag that send as replies should get the tag auto removed. ",Puts human in the loop to reply and to teach system how this falls under certain tag,"I would like to have this trigger an automation or at least somehow make this automation smarter by applying the info to get greater clarity so the next time it runs into something like this, it is more sure. "
Sales,"Emails that appear to be inquries for services, or ongoing communication in ongoing sales processes",Refer to B Label Page for Sub Labels,"Once it has been replied to and if another tag has been added, as it now has a sub segment of sales context to work within","Seperates Sales from other activities, and segments what actions are needed","There may potentialy be a ""Sure of context"" score field that it has to pass through at a certain level, this may apply to all that don't have this."
Reciepts 2026,All receipts,Labels W/Reciept Label for Accounting Purposes,"Tag is not removed, but email is marked as read once tagged.",Catches all other reciepts that don't get classified. ,"A. There are email rules for some reciepts (in gmail), so some of these may be redundant, not sure if thats an issue or not. B. Maybe we could have it save some OpenAI credits too by not addressing emails that already get the tag. "
Payable,"Emails that note a payment request from me, bills that need to be paid. ","None, strictly for classification & handling","Tag is not removed, as it doesn't harm if its marked as read.",Sorts emails and creates list of bills to pay,
Recievable,"Emails noting a payment to us has been made, or a quickbooks/etransfer reciept",Applies Label to sort as notification and handlng step,"Tag is not removed, as it doesn't harm if its marked as read.",Sorts emails and creates list of incoming payments,
OPS,"Emails from potential software, service partners or partners who we may be working with, as well as staff","Refer to B Label Page for Sub Labels (ALERT, DIGEST)","Tag is not removed, as it doesn't harm if its marked as read.",Sorts emails and creates list of operational notifications/information,"OPS now has sub-labels (ALERT, DIGEST) that drive specific handling workflows â€” see B-label definitions. Generic OPS emails with no sub-label remain classification-only."
GOV,"Goverment, CRA, Account related stuff that requires addressing on my end","None, strictly for classification & handling","Tag is not removed, as it doesn't harm if its marked as read.",Sorts emails and creates list of bigger than business updates to address,
Personal,"Emails that appear to be personal for Adam or things that have nothing to do with Dads OPS, Sales or Projects","None, strictly for classification & handling","Tag is not removed, as it doesn't harm if its marked as read.",Seperates personal from work,
Forms,Emails that appear to be a form filled out and submitted thru the site,"None, strictly for classification & handling","Tag is not removed, as it doesn't harm if its marked as read.",Sorts emails and segments form fills from other inbox business,
